epoch,dataset,model_name,routing_type,run_name,train_loss,train_acc,train_precision,train_recall,train_f1,train_epoch_time_sec,train_forward_time_sec,train_backward_time_sec,train_step_time_sec,train_samples_per_sec,train_tokens_per_sec,val_loss,val_acc,val_precision,val_recall,val_f1,val_epoch_time_sec,val_samples_per_sec,val_tokens_per_sec,gpu_peak_mem_mb,best_val_f1_so_far,is_best,epochs_without_improvement,train_firing_rate,train_spikes_per_sample,train_spikes_per_token,train_total_spikes,train_valid_steps,train_num_samples,train_exc_firing_rate,train_exc_total_spikes,train_exc_spikes_per_token,train_exc_spikes_per_sample,train_inh_firing_rate,train_inh_total_spikes,train_inh_spikes_per_token,train_inh_spikes_per_sample,train_exc_inh_diff,train_routing_entropy,train_num_groups,train_routing_variance,train_exc_weight_mean,train_inh_weight_mean,train_exc_inh_balance,train_weight_gap,train_exc_weight_std,train_inh_weight_std,train_exc_usage_fraction,train_inh_usage_fraction,train_max_weight_mean,train_dominance_fraction,train_exc_tau_mean,train_exc_tau_std,train_inh_tau_mean,train_inh_tau_std,train_exc_threshold_mean,train_exc_threshold_std,train_inh_threshold_mean,train_inh_threshold_std,train_exc_effective_threshold_mean,train_exc_effective_threshold_std,train_inh_effective_threshold_mean,train_inh_effective_threshold_std,train_exc_adaptive_threshold_mean,train_exc_adaptive_threshold_std,train_inh_adaptive_threshold_mean,train_inh_adaptive_threshold_std,train_task_loss,train_balance_loss,train_entropy_loss,val_firing_rate,val_spikes_per_sample,val_spikes_per_token,val_total_spikes,val_valid_steps,val_num_samples,val_exc_firing_rate,val_exc_total_spikes,val_exc_spikes_per_token,val_exc_spikes_per_sample,val_inh_firing_rate,val_inh_total_spikes,val_inh_spikes_per_token,val_inh_spikes_per_sample,val_exc_inh_diff,val_routing_entropy,val_num_groups,val_routing_variance,val_exc_weight_mean,val_inh_weight_mean,val_exc_inh_balance,val_weight_gap,val_exc_weight_std,val_inh_weight_std,val_exc_usage_fraction,val_inh_usage_fraction,val_max_weight_mean,val_dominance_fraction,val_exc_tau_mean,val_exc_tau_std,val_inh_tau_mean,val_inh_tau_std,val_exc_threshold_mean,val_exc_threshold_std,val_inh_threshold_mean,val_inh_threshold_std,val_exc_effective_threshold_mean,val_exc_effective_threshold_std,val_inh_effective_threshold_mean,val_inh_effective_threshold_std,val_exc_adaptive_threshold_mean,val_exc_adaptive_threshold_std,val_inh_adaptive_threshold_mean,val_inh_adaptive_threshold_std
1,mnist,cats,identity,run_001,2.252823,0.819111,0.818791,0.817185,0.817732,4729.89,196.9996,208.315,6.8138,11.4168,570.8378,0.241114,0.9215,0.92329,0.921825,0.920697,23.3912,256.507,12825.3509,85.5508,0.920697,1,0,0.4021,5146.875889,102.937518,164654.786137,409478.672986,31.990521,0.093209,19082.548578,11.930691,596.534564,0.710991,145572.237559,91.006826,4550.341325,-0.617782,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.99902,0.0,0.909138,0.0,0.699486,0.0,1.025174,0.079404,1.409736,0.536893,0.117215,0.07825,0.738719,0.536875,2.252225,0.0,0.0,0.375202,4802.584275,96.051686,153245.12766,408510.638298,31.914894,0.117976,24105.117021,15.100894,755.044714,0.632428,129140.010638,80.950791,4047.539561,-0.514452,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999033,0.0,0.908232,0.0,0.700669,0.0,1.054377,0.088899,1.313852,0.516876,0.14766,0.087214,0.639249,0.519165
2,mnist,cats,identity,run_001,0.210988,0.931815,0.931075,0.931102,0.931079,4913.8136,196.4055,210.4904,6.709,10.9894,549.4714,0.180602,0.941833,0.943395,0.939702,0.9403,25.8219,232.3606,11618.0311,85.2383,0.9403,1,0,0.350379,4484.850803,89.697016,143474.341825,409478.672986,31.990521,0.123147,25213.580569,15.762797,788.139847,0.577611,118260.761256,73.934219,3696.710956,-0.454464,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999044,0.0,0.906911,0.0,0.701171,0.0,1.05839,0.092653,1.265717,0.49127,0.153092,0.090958,0.588173,0.493417,0.210931,0.0,0.0,0.327882,4196.894116,83.937882,133913.281915,408510.638298,31.914894,0.127023,25954.425532,16.258963,812.948138,0.528742,107958.856383,67.67892,3383.945977,-0.401718,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.99905,0.0,0.905614,0.0,0.702178,0.0,1.061181,0.093831,1.225852,0.466404,0.157252,0.092074,0.545027,0.468146
3,mnist,cats,identity,run_001,0.169389,0.946148,0.945613,0.945535,0.945566,4900.7052,196.4727,211.6134,6.8244,11.0188,550.9411,0.192659,0.9395,0.941751,0.938904,0.938578,26.4626,226.7349,11336.7439,85.2383,0.9403,0,1,0.31326,4009.723415,80.194468,128275.608412,409478.672986,31.990521,0.131177,26855.333531,16.790605,839.530269,0.495343,101420.274882,63.403863,3170.193146,-0.364166,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999056,0.0,0.90556,0.0,0.70273,0.0,1.064745,0.096752,1.199343,0.449694,0.160968,0.095054,0.516376,0.451126,0.16938,0.0,0.0,0.29906,3827.963098,76.559262,122139.239362,408510.638298,31.914894,0.131105,26790.111702,16.781499,839.074967,0.467014,95349.12766,59.777763,2988.888132,-0.335908,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999061,0.0,0.90481,0.0,0.703219,0.0,1.062874,0.095632,1.180477,0.432745,0.159877,0.093977,0.495529,0.433564
4,mnist,cats,identity,run_001,0.1485,0.95287,0.95241,0.952373,0.952387,4831.7302,196.5716,213.1848,6.7446,11.1761,558.806,0.136134,0.954,0.953583,0.9535,0.953277,27.4197,218.8205,10941.0241,85.2383,0.953277,1,0,0.297062,3802.396364,76.047927,121642.322275,409478.672986,31.990521,0.128726,26355.645142,16.476894,823.844713,0.465399,95286.677133,59.571033,2978.551651,-0.336673,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999067,0.0,0.90438,0.0,0.703932,0.0,1.058966,0.095313,1.184667,0.431725,0.156384,0.093809,0.498738,0.432158,0.148509,0.0,0.0,0.290284,3715.638797,74.312776,118553.62766,408510.638298,31.914894,0.131901,26952.574468,16.883301,844.16506,0.448668,91601.053191,57.429475,2871.473737,-0.316767,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999072,0.0,0.903445,0.0,0.704389,0.0,1.061406,0.095346,1.169402,0.422336,0.159817,0.093741,0.482306,0.422739
5,mnist,cats,identity,run_001,0.133173,0.957204,0.956686,0.956669,0.956674,4874.1494,196.0687,211.4506,6.6098,11.0789,553.9428,0.158313,0.95,0.952048,0.947774,0.948931,26.7307,224.4612,11223.0593,85.2383,0.953277,0,1,0.287487,3679.827866,73.596557,117719.662915,409478.672986,31.990521,0.133745,27383.464455,17.11936,855.967991,0.441228,90336.19846,56.477197,2823.859875,-0.307483,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999078,0.0,0.903551,0.0,0.705257,0.0,1.062658,0.097235,1.16521,0.419414,0.161021,0.095724,0.476853,0.419689,0.133153,0.0,0.0,0.28721,3676.288065,73.525761,117297.010638,408510.638298,31.914894,0.128383,26233.867021,16.433062,821.653092,0.446037,91063.143617,57.092699,2854.634973,-0.317653,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999084,0.0,0.904092,0.0,0.706212,0.0,1.057088,0.092647,1.176527,0.41862,0.154825,0.091162,0.487186,0.418416
6,mnist,cats,identity,run_001,0.126935,0.959852,0.959457,0.959397,0.959423,5062.4111,197.2434,212.3242,6.7577,10.6669,533.3427,0.126905,0.961333,0.96171,0.960687,0.96087,23.5713,254.5464,12727.3187,85.2383,0.96087,1,0,0.281146,3598.664859,71.973297,115125.368483,409478.672986,31.990521,0.133291,27290.03673,17.061194,853.059686,0.429001,87835.331754,54.912103,2745.605173,-0.29571,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999091,0.0,0.905,0.0,0.706931,0.0,1.061857,0.097251,1.159987,0.4109,0.158816,0.09589,0.469253,0.410856,0.126899,0.0,0.0,0.272364,3486.253324,69.725066,111232.851064,408510.638298,31.914894,0.141995,29015.87234,18.175299,908.76496,0.402733,82216.978723,51.549767,2577.488364,-0.260738,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999098,0.0,0.905661,0.0,0.707429,0.0,1.071255,0.100654,1.131134,0.397149,0.167726,0.099159,0.438975,0.397455
7,mnist,cats,identity,run_001,0.112067,0.965037,0.964676,0.964652,0.964661,4940.133,196.3477,211.5768,6.7094,10.9309,546.544,0.141858,0.953833,0.955812,0.952754,0.953498,27.8519,215.4249,10771.2456,85.2383,0.96087,0,1,0.278036,3558.859727,71.177195,113851.458531,409478.672986,31.990521,0.135256,27689.628555,17.312707,865.63533,0.420816,86161.829976,53.864488,2693.224396,-0.285561,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999103,0.0,0.906793,0.0,0.70785,0.0,1.065069,0.098113,1.153569,0.406531,0.16029,0.096776,0.461556,0.40648,0.112042,0.0,0.0,0.28172,3606.019947,72.120399,115054.595745,408510.638298,31.914894,0.12419,25377.819149,15.89635,794.817487,0.43925,89676.776596,56.224049,2811.20246,-0.31506,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999108,0.0,0.907337,0.0,0.708179,0.0,1.053618,0.091294,1.179261,0.411669,0.148102,0.090047,0.487379,0.410945
8,mnist,cats,identity,run_001,0.107627,0.966444,0.966079,0.966062,0.966068,5476.3043,197.5057,205.5268,6.4966,9.8607,493.0332,0.131307,0.960667,0.961098,0.96042,0.960299,27.8319,215.5803,10779.0164,85.2383,0.96087,0,2,0.273773,3504.288988,70.08578,112102.129147,409478.672986,31.990521,0.134611,27560.148104,17.230203,861.510127,0.412934,84541.981043,52.855577,2642.778862,-0.278323,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999116,0.0,0.907415,0.0,0.708789,0.0,1.063417,0.098949,1.148856,0.400985,0.158052,0.097758,0.455499,0.400835,0.107606,0.0,0.0,0.272777,3491.547041,69.830941,111402.420213,408510.638298,31.914894,0.135928,27776.93617,17.398733,869.936669,0.409627,83625.484043,52.432207,2621.610372,-0.273699,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999124,0.0,0.907613,0.0,0.70911,0.0,1.065386,0.098411,1.144297,0.398317,0.159836,0.097107,0.45055,0.398274
9,mnist,cats,identity,run_001,0.09986,0.969315,0.968982,0.96897,0.968974,5308.5696,192.3664,206.2838,6.478,10.1722,508.6116,0.212243,0.9385,0.942709,0.937448,0.937889,28.319,211.8719,10593.597,85.2383,0.96087,0,3,0.272995,3494.336382,69.886728,111780.609597,409478.672986,31.990521,0.134191,27474.539692,17.176404,858.820201,0.411799,84306.069905,52.710324,2635.51618,-0.277609,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999133,0.0,0.908632,0.0,0.709879,0.0,1.063827,0.098837,1.148753,0.399699,0.157248,0.097669,0.454263,0.399575,0.100072,0.0,0.0,0.272475,3487.685838,69.753717,111279.303191,408510.638298,31.914894,0.133564,27294.005319,17.09615,854.807513,0.411387,83985.297872,52.657566,2632.878324,-0.277824,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999142,0.0,0.908998,0.0,0.710315,0.0,1.063805,0.09759,1.148588,0.398107,0.156841,0.096352,0.453653,0.397973
