epoch,dataset,model_name,routing_type,run_name,train_loss,train_acc,train_precision,train_recall,train_f1,train_epoch_time_sec,train_forward_time_sec,train_backward_time_sec,train_step_time_sec,train_samples_per_sec,train_tokens_per_sec,val_loss,val_acc,val_precision,val_recall,val_f1,val_epoch_time_sec,val_samples_per_sec,val_tokens_per_sec,gpu_peak_mem_mb,best_val_f1_so_far,is_best,epochs_without_improvement,train_firing_rate,train_spikes_per_sample,train_spikes_per_token,train_total_spikes,train_valid_steps,train_num_samples,train_exc_firing_rate,train_exc_total_spikes,train_exc_spikes_per_token,train_exc_spikes_per_sample,train_inh_firing_rate,train_inh_total_spikes,train_inh_spikes_per_token,train_inh_spikes_per_sample,train_exc_inh_diff,train_routing_entropy,train_num_groups,train_routing_variance,train_exc_weight_mean,train_inh_weight_mean,train_exc_inh_balance,train_weight_gap,train_exc_weight_std,train_inh_weight_std,train_routing_conf_mean,train_routing_conf_std,train_exc_usage_fraction,train_inh_usage_fraction,train_max_weight_mean,train_dominance_fraction,train_exc_tau_mean,train_exc_tau_std,train_inh_tau_mean,train_inh_tau_std,train_exc_threshold_mean,train_exc_threshold_std,train_inh_threshold_mean,train_inh_threshold_std,train_exc_effective_threshold_mean,train_exc_effective_threshold_std,train_inh_effective_threshold_mean,train_inh_effective_threshold_std,train_exc_adaptive_threshold_mean,train_exc_adaptive_threshold_std,train_inh_adaptive_threshold_mean,train_inh_adaptive_threshold_std,train_task_loss,train_balance_loss,train_entropy_loss,val_firing_rate,val_spikes_per_sample,val_spikes_per_token,val_total_spikes,val_valid_steps,val_num_samples,val_exc_firing_rate,val_exc_total_spikes,val_exc_spikes_per_token,val_exc_spikes_per_sample,val_inh_firing_rate,val_inh_total_spikes,val_inh_spikes_per_token,val_inh_spikes_per_sample,val_exc_inh_diff,val_routing_entropy,val_num_groups,val_routing_variance,val_exc_weight_mean,val_inh_weight_mean,val_exc_inh_balance,val_weight_gap,val_exc_weight_std,val_inh_weight_std,val_routing_conf_mean,val_routing_conf_std,val_exc_usage_fraction,val_inh_usage_fraction,val_max_weight_mean,val_dominance_fraction,val_exc_tau_mean,val_exc_tau_std,val_inh_tau_mean,val_inh_tau_std,val_exc_threshold_mean,val_exc_threshold_std,val_inh_threshold_mean,val_inh_threshold_std,val_exc_effective_threshold_mean,val_exc_effective_threshold_std,val_inh_effective_threshold_mean,val_inh_effective_threshold_std,val_exc_adaptive_threshold_mean,val_exc_adaptive_threshold_std,val_inh_adaptive_threshold_mean,val_inh_adaptive_threshold_std
1,cifar10,cats,carson,run_001,1.252063,0.558022,0.556001,0.558092,0.556818,5968.5876,253.0949,261.8456,102.2624,7.5395,490.0657,1.056393,0.6298,0.634258,0.627556,0.62216,29.9131,167.1507,10864.7937,246.1475,0.62216,1,0,0.124459,2070.990005,31.861385,66230.541578,532196.162047,31.982942,0.163185,43418.584222,20.887701,1357.70056,0.085732,22811.957356,10.973684,713.289446,0.077453,0.66923,2.0,0.011722,0.498725,0.501275,-0.00255,0.024159,0.106515,0.106515,0.015385,0.023465,0.497065,0.502935,0.589566,0.0,28.0,0.0,13.998995,0.0,0.906516,0.0,0.698294,0.0,1.055605,0.151334,0.820661,0.168429,0.152775,0.152404,0.124332,0.168998,1.24945,0.01208,0.023917,0.142966,2378.951234,36.59925,75751.324841,529936.305732,31.847134,0.190436,50447.095541,24.375769,1584.42496,0.095496,25304.229299,12.223481,794.526274,0.09494,0.667056,2.0,0.012764,0.507361,0.492639,0.014723,0.016637,0.112509,0.112509,0.015385,0.0322,0.542752,0.457248,0.593349,0.0,28.0,0.0,13.998981,0.0,0.905312,0.0,0.697725,0.0,1.081116,0.164174,0.835268,0.1823,0.180052,0.165098,0.139681,0.182801
2,cifar10,cats,carson,run_001,0.929395,0.673533,0.67268,0.673618,0.673007,6295.5328,274.8557,258.3664,8.9817,7.1479,464.6152,0.991522,0.6522,0.653266,0.649939,0.643979,29.3251,170.5026,11082.6676,247.0547,0.643979,1,0,0.139017,2313.248201,35.588434,73981.119403,532196.162047,31.982942,0.177612,47257.867093,22.734369,1477.733986,0.100422,26723.25231,12.854065,835.514215,0.07719,0.654374,2.0,0.018721,0.50067,0.49933,0.00134,0.020909,0.135561,0.135561,0.015385,0.037084,0.523693,0.476307,0.61236,0.000286,28.0,0.0,13.998981,0.0,0.904958,0.0,0.697708,0.0,1.068414,0.157284,0.841722,0.184495,0.167433,0.158306,0.146287,0.184949,0.927102,0.010455,0.038773,0.147734,2458.289411,37.819837,78277.229299,529936.305732,31.847134,0.200491,53114.152866,25.662849,1668.085191,0.094976,25163.076433,12.156988,790.20422,0.105515,0.637451,2.0,0.026593,0.523812,0.476188,0.047625,0.047701,0.160981,0.160981,0.015385,0.043919,0.591453,0.408547,0.635907,0.001173,28.0,0.0,13.998981,0.0,0.904866,0.0,0.697567,0.0,1.087883,0.169482,0.835305,0.179402,0.187552,0.17052,0.139826,0.179816
3,cifar10,cats,carson,run_001,0.812366,0.715778,0.714867,0.715852,0.715262,6233.2012,262.8614,250.9278,8.7145,7.2194,469.2613,0.922229,0.6692,0.673993,0.667481,0.666711,34.1086,146.5907,9528.3938,247.0547,0.666711,1,0,0.14131,2351.397033,36.175339,75201.764748,532196.162047,31.982942,0.177528,47235.613362,22.723588,1477.033227,0.105092,27966.151386,13.451751,874.363806,0.072436,0.625833,2.0,0.031654,0.502632,0.497368,0.005263,0.02436,0.176758,0.176758,0.015385,0.039441,0.539282,0.460718,0.64628,0.010335,28.0,0.0,13.998989,0.0,0.905024,0.0,0.697756,0.0,1.067156,0.157765,0.848295,0.187583,0.166145,0.158892,0.152925,0.188006,0.810324,0.01218,0.067314,0.148981,2479.043989,38.139138,78939.006369,529936.305732,31.847134,0.195326,51748.745223,25.001718,1625.111664,0.102636,27190.261146,13.13742,853.932325,0.09269,0.602325,2.0,0.042013,0.499517,0.500483,-0.000966,0.018356,0.204613,0.204613,0.015385,0.035597,0.53242,0.46758,0.671327,0.02944,28.0,0.0,13.998993,0.0,0.904888,0.0,0.697742,0.0,1.080878,0.165168,0.845948,0.188437,0.180476,0.166366,0.150489,0.188844
4,cifar10,cats,carson,run_001,0.693039,0.756378,0.756075,0.75646,0.756203,6183.8409,269.0883,256.0742,8.7449,7.277,473.007,0.922151,0.6738,0.672985,0.672681,0.669511,36.2992,137.744,8953.3592,247.0547,0.669511,1,0,0.140087,2331.052883,35.862352,74553.238095,532196.162047,31.982942,0.172928,46014.442786,22.134765,1438.759706,0.107247,28538.795309,13.727587,892.293177,0.065681,0.58276,2.0,0.050187,0.5025,0.4975,0.005001,0.02432,0.223284,0.223284,0.015385,0.041226,0.533625,0.466375,0.687384,0.059502,28.0,0.0,13.999008,0.0,0.905616,0.0,0.698189,0.0,1.063563,0.157989,0.850087,0.190084,0.161855,0.159197,0.154402,0.190579,0.690356,0.01216,0.110387,0.145549,2421.940287,37.26062,77116.579618,529936.305732,31.847134,0.181883,48181.757962,23.281023,1513.266521,0.109216,28934.821656,13.979596,908.673766,0.072667,0.577082,2.0,0.052506,0.496904,0.503096,-0.006192,0.022558,0.228626,0.228626,0.015385,0.040112,0.52048,0.47952,0.691498,0.069601,28.0,0.0,13.999019,0.0,0.905913,0.0,0.698352,0.0,1.07163,0.162465,0.853141,0.193741,0.169839,0.163623,0.157335,0.194249
5,cifar10,cats,carson,run_001,0.563525,0.803756,0.803459,0.803834,0.803591,4699.1834,239.7104,242.3367,9.1961,9.5761,622.4486,0.98618,0.6722,0.669746,0.670303,0.666862,28.1497,177.622,11545.4274,247.0547,0.669511,0,1,0.138503,2304.689077,35.456755,73708.536603,532196.162047,31.982942,0.169733,45163.034115,21.725762,1412.174507,0.107273,28545.502488,13.730993,892.51457,0.062459,0.545801,2.0,0.065304,0.503345,0.496655,0.00669,0.030731,0.254559,0.254559,0.015385,0.045316,0.525096,0.474904,0.716794,0.120707,28.0,0.0,13.999039,0.0,0.906979,0.0,0.698846,0.0,1.061863,0.160418,0.849607,0.191936,0.158725,0.161679,0.153313,0.192527,0.56022,0.015365,0.147346,0.144026,2396.586584,36.870563,76310.229299,529936.305732,31.847134,0.18435,48832.44586,23.596794,1533.7916,0.103701,27477.783439,13.273769,862.794984,0.080649,0.524043,2.0,0.07412,0.526051,0.473949,0.052102,0.053608,0.270524,0.270524,0.015385,0.04648,0.558406,0.441594,0.733646,0.157604,28.0,0.0,13.999055,0.0,0.907554,0.0,0.698988,0.0,1.075288,0.170031,0.845547,0.189732,0.171919,0.171325,0.148993,0.190306
6,cifar10,cats,carson,run_001,0.464996,0.840044,0.839921,0.840114,0.839975,4807.8961,235.0723,239.8355,9.171,9.3596,608.3742,0.996694,0.6756,0.682186,0.673861,0.675364,29.3371,170.4328,11078.1324,247.0547,0.675364,1,0,0.137418,2286.632974,35.178969,73131.783937,532196.162047,31.982942,0.166395,44274.638237,21.298553,1384.405939,0.108441,28857.1457,13.880416,902.227034,0.057954,0.507524,2.0,0.080417,0.502819,0.497181,0.005638,0.032665,0.28268,0.28268,0.015385,0.046904,0.515045,0.484955,0.74447,0.189857,28.0,0.0,13.999077,0.0,0.908402,0.0,0.699476,0.0,1.061522,0.162357,0.8498,0.194064,0.156846,0.163571,0.152986,0.194811,0.46197,0.016333,0.185623,0.143209,2382.996019,36.661477,75875.235669,529936.305732,31.847134,0.180036,47686.477707,23.044644,1497.901871,0.106382,28188.757962,13.616833,885.094148,0.073655,0.490469,2.0,0.087158,0.502359,0.497641,0.004718,0.025768,0.294746,0.294746,0.015385,0.044603,0.512509,0.487491,0.757076,0.219712,28.0,0.0,13.999094,0.0,0.908959,0.0,0.69955,0.0,1.073861,0.169549,0.847331,0.194629,0.168957,0.17074,0.15038,0.195396
7,cifar10,cats,carson,run_001,0.367383,0.873556,0.873485,0.873626,0.873532,4731.5008,234.9713,240.2575,9.0671,9.5107,618.1971,1.115203,0.6672,0.667154,0.665749,0.664638,29.4627,169.7061,11030.8982,247.0547,0.675364,0,1,0.136332,2268.562567,34.900963,72555.260128,532196.162047,31.982942,0.163975,43632.63113,20.988743,1364.268324,0.108689,28922.628998,13.912219,904.294243,0.055285,0.472931,2.0,0.093747,0.503425,0.496575,0.006851,0.03347,0.305383,0.305383,0.015385,0.048104,0.51133,0.48867,0.768028,0.253073,28.0,0.0,13.999118,0.0,0.909947,0.0,0.7001,0.0,1.0623,0.164564,0.849077,0.196505,0.155982,0.165744,0.151713,0.197392,0.36371,0.016735,0.220216,0.141624,2356.625796,36.255781,75034.732484,529936.305732,31.847134,0.167359,44323.617834,21.422005,1392.430334,0.115889,30711.11465,14.833776,964.195462,0.051471,0.474236,2.0,0.093108,0.507244,0.492756,0.014487,0.03162,0.304462,0.304462,0.015385,0.045387,0.512359,0.487641,0.766332,0.25248,28.0,0.0,13.999136,0.0,0.910549,0.0,0.700196,0.0,1.065796,0.167762,0.859747,0.20378,0.158957,0.168952,0.16244,0.204607
8,cifar10,cats,carson,run_001,0.303973,0.895489,0.895327,0.89554,0.895416,4759.8732,233.6739,238.4253,9.1466,9.454,614.5122,1.228064,0.6684,0.670762,0.666952,0.665764,28.1026,177.9197,11564.781,247.0547,0.675364,0,2,0.13607,2264.199782,34.833843,72416.457001,532196.162047,31.982942,0.16256,43256.422175,20.807739,1352.503065,0.109579,29160.034826,14.026103,911.696717,0.052982,0.450895,2.0,0.10208,0.502891,0.497109,0.005782,0.036438,0.318594,0.318594,0.015385,0.047001,0.508173,0.491827,0.782326,0.293031,28.0,0.0,13.999159,0.0,0.911425,0.0,0.700641,0.0,1.06386,0.166666,0.848997,0.197697,0.155991,0.167778,0.151189,0.198732,0.299955,0.018219,0.242252,0.136607,2273.134355,34.971298,72376.821656,529936.305732,31.847134,0.153662,40698.974522,19.668796,1278.471736,0.119551,31677.847134,15.302502,994.662619,0.034112,0.436489,2.0,0.107428,0.497676,0.502324,-0.004648,0.026927,0.327275,0.327275,0.015385,0.042949,0.502376,0.497624,0.791303,0.318857,28.0,0.0,13.999177,0.0,0.91206,0.0,0.700842,0.0,1.056317,0.163264,0.862859,0.208435,0.147612,0.164401,0.1651,0.209428
9,cifar10,cats,carson,run_001,0.233838,0.920378,0.920433,0.920425,0.920418,4751.9675,236.1405,242.3196,9.0859,9.4698,615.5345,1.369246,0.6642,0.67239,0.663355,0.663437,28.9091,172.956,11242.1428,247.0547,0.675364,0,3,0.135363,2252.436767,34.652873,72039.070362,532196.162047,31.982942,0.16124,42908.226724,20.638664,1341.513149,0.109486,29130.843639,14.01421,910.923619,0.051754,0.430562,2.0,0.10953,0.502427,0.497573,0.004853,0.03519,0.330176,0.330176,0.015385,0.047365,0.506998,0.493002,0.794312,0.332036,28.0,0.0,13.999199,0.0,0.913038,0.0,0.70141,0.0,1.065694,0.168908,0.848265,0.198888,0.156138,0.16996,0.14974,0.200055,0.230018,0.017595,0.262585,0.136624,2273.421775,34.97572,72390.910828,529936.305732,31.847134,0.147003,38935.235669,18.816325,1223.061107,0.126245,33455.675159,16.159395,1050.360669,0.020757,0.419649,2.0,0.11352,0.496092,0.503908,-0.007816,0.030532,0.336308,0.336308,0.015385,0.047094,0.497627,0.502373,0.800768,0.352502,28.0,0.0,13.999217,0.0,0.913874,0.0,0.701711,0.0,1.05238,0.162968,0.871783,0.216726,0.141702,0.164151,0.173368,0.217788
