epoch,dataset,model_name,routing_type,run_name,train_loss,train_acc,train_precision,train_recall,train_f1,train_epoch_time_sec,train_forward_time_sec,train_backward_time_sec,train_step_time_sec,train_samples_per_sec,train_tokens_per_sec,val_loss,val_acc,val_precision,val_recall,val_f1,val_epoch_time_sec,val_samples_per_sec,val_tokens_per_sec,gpu_peak_mem_mb,best_val_f1_so_far,is_best,epochs_without_improvement,train_firing_rate,train_spikes_per_sample,train_spikes_per_token,train_total_spikes,train_valid_steps,train_num_samples,train_exc_firing_rate,train_exc_total_spikes,train_exc_spikes_per_token,train_exc_spikes_per_sample,train_inh_firing_rate,train_inh_total_spikes,train_inh_spikes_per_token,train_inh_spikes_per_sample,train_exc_inh_diff,train_routing_entropy,train_num_groups,train_routing_variance,train_exc_weight_mean,train_inh_weight_mean,train_exc_inh_balance,train_weight_gap,train_exc_weight_std,train_inh_weight_std,train_exc_usage_fraction,train_inh_usage_fraction,train_max_weight_mean,train_dominance_fraction,train_exc_tau_mean,train_exc_tau_std,train_inh_tau_mean,train_inh_tau_std,train_exc_threshold_mean,train_exc_threshold_std,train_inh_threshold_mean,train_inh_threshold_std,train_exc_effective_threshold_mean,train_exc_effective_threshold_std,train_inh_effective_threshold_mean,train_inh_effective_threshold_std,train_exc_adaptive_threshold_mean,train_exc_adaptive_threshold_std,train_inh_adaptive_threshold_mean,train_inh_adaptive_threshold_std,train_task_loss,train_balance_loss,train_entropy_loss,val_firing_rate,val_spikes_per_sample,val_spikes_per_token,val_total_spikes,val_valid_steps,val_num_samples,val_exc_firing_rate,val_exc_total_spikes,val_exc_spikes_per_token,val_exc_spikes_per_sample,val_inh_firing_rate,val_inh_total_spikes,val_inh_spikes_per_token,val_inh_spikes_per_sample,val_exc_inh_diff,val_routing_entropy,val_num_groups,val_routing_variance,val_exc_weight_mean,val_inh_weight_mean,val_exc_inh_balance,val_weight_gap,val_exc_weight_std,val_inh_weight_std,val_exc_usage_fraction,val_inh_usage_fraction,val_max_weight_mean,val_dominance_fraction,val_exc_tau_mean,val_exc_tau_std,val_inh_tau_mean,val_inh_tau_std,val_exc_threshold_mean,val_exc_threshold_std,val_inh_threshold_mean,val_inh_threshold_std,val_exc_effective_threshold_mean,val_exc_effective_threshold_std,val_inh_effective_threshold_mean,val_inh_effective_threshold_std,val_exc_adaptive_threshold_mean,val_exc_adaptive_threshold_std,val_inh_adaptive_threshold_mean,val_inh_adaptive_threshold_std
1,cifar10,cats,identity,run_001,2.45909,0.4818,0.480643,0.481861,0.481017,5471.2468,200.1593,217.412,4.1753,8.2248,534.6131,1.257373,0.5682,0.586382,0.568422,0.565547,23.2566,214.9926,13974.5214,102.7314,0.565547,1,0,0.281595,4685.737984,72.088277,149864.651741,532196.162047,31.982942,0.191364,50906.607676,24.494649,1592.152186,0.371825,98958.044065,47.593628,3093.585799,-0.180461,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.998994,0.0,0.909072,0.0,0.698479,0.0,1.107528,0.198258,1.177682,0.439529,0.202071,0.199673,0.489781,0.440472,2.458451,0.0,0.0,0.27746,4616.942675,71.029887,147014.961783,529936.305732,31.847134,0.219764,58300.878981,28.12978,1828.435709,0.335157,88714.082803,42.900107,2788.506967,-0.115393,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.998977,0.0,0.908995,0.0,0.698385,0.0,1.135765,0.209404,1.129058,0.420874,0.230955,0.210678,0.440259,0.422331
2,cifar10,cats,identity,run_001,1.195206,0.592733,0.591059,0.592808,0.59177,5620.857,201.7753,220.0418,4.2373,8.0059,520.3833,1.214,0.5804,0.613969,0.581453,0.584236,28.996,172.4379,11208.4617,102.7314,0.584236,1,0,0.276307,4597.747712,70.73458,147054.293532,532196.162047,31.982942,0.221643,58985.371002,28.370304,1844.069763,0.330971,88068.92253,42.364276,2753.67795,-0.109328,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.99896,0.0,0.908705,0.0,0.698305,0.0,1.135896,0.21157,1.125205,0.417929,0.231457,0.212888,0.436302,0.419348,1.195149,0.0,0.0,0.274706,4571.112659,70.32481,145552.643312,529936.305732,31.847134,0.233446,61930.242038,29.881124,1942.273089,0.315966,83622.401274,40.443686,2628.83957,-0.08252,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.998937,0.0,0.908242,0.0,0.697902,0.0,1.147121,0.2143,1.104551,0.406862,0.243385,0.215504,0.41566,0.408425
3,cifar10,cats,identity,run_001,1.115798,0.622844,0.621233,0.622923,0.621934,5812.602,208.9579,223.3312,4.3615,7.7418,503.217,1.26456,0.5738,0.626933,0.572253,0.573249,29.909,167.1739,10866.3062,102.7314,0.584236,0,1,0.273753,4555.254598,70.08084,145692.501066,532196.162047,31.982942,0.236394,62894.607676,30.258412,1966.796775,0.311113,82797.89339,39.822428,2588.457822,-0.074719,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.998917,0.0,0.907677,0.0,0.697891,0.0,1.147355,0.216604,1.101104,0.40298,0.244308,0.217875,0.411973,0.404422,1.115775,0.0,0.0,0.271616,4519.696656,69.533795,143920.66879,529936.305732,31.847134,0.265682,70477.700637,34.007236,2210.470342,0.277551,73442.968153,35.526559,2309.226314,-0.01187,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.998896,0.0,0.907908,0.0,0.697597,0.0,1.174305,0.228016,1.057933,0.380895,0.271689,0.229141,0.368127,0.382587
4,cifar10,cats,identity,run_001,1.071302,0.635,0.633587,0.635086,0.634234,5663.8398,204.8133,219.7311,4.2049,7.9451,516.4341,1.127814,0.6114,0.6275,0.610972,0.612491,27.8903,179.274,11652.8128,102.7314,0.612491,1,0,0.272303,4531.127399,69.709652,144923.34968,532196.162047,31.982942,0.243585,64815.958067,31.178846,2026.625022,0.301022,80107.391613,38.530806,2504.502377,-0.057437,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.998875,0.0,0.908756,0.0,0.697282,0.0,1.152012,0.219723,1.091636,0.392215,0.248137,0.221074,0.402661,0.393459,1.071758,0.0,0.0,0.272384,4532.476513,69.730408,144318.006369,529936.305732,31.847134,0.243176,64515.66879,31.126479,2023.221139,0.301593,79802.33758,38.603929,2509.255374,-0.058418,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.998853,0.0,0.909172,0.0,0.69684,0.0,1.150736,0.218045,1.093676,0.388795,0.246477,0.219437,0.405089,0.389875
5,cifar10,cats,identity,run_001,1.045692,0.6444,0.643272,0.644469,0.643771,7227.6863,219.6338,220.3931,4.1516,6.2261,404.6938,1.164467,0.6134,0.619288,0.611692,0.604981,30.625,163.2651,10612.2298,102.7314,0.612491,0,1,0.271966,4525.513015,69.623277,144734.659559,532196.162047,31.982942,0.252404,67169.004264,32.307658,2099.997801,0.291528,77565.655295,37.315619,2425.515214,-0.039125,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.998832,0.0,0.910396,0.0,0.696604,0.0,1.159809,0.222941,1.08136,0.383259,0.25455,0.22431,0.392688,0.384398,1.046041,0.0,0.0,0.271676,4520.696258,69.549173,143948.280255,529936.305732,31.847134,0.268145,71136.369427,34.322526,2230.964172,0.275208,72811.910828,35.226647,2289.732086,-0.007063,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.998804,0.0,0.910939,0.0,0.696224,0.0,1.174577,0.228464,1.05987,0.370986,0.269136,0.229734,0.371117,0.37223
6,cifar10,cats,identity,run_001,1.019302,0.651467,0.649901,0.651554,0.650625,7397.2466,231.5793,232.7479,4.3044,6.0833,395.4174,1.129734,0.6092,0.61785,0.6061,0.601149,38.63,129.433,8413.1454,102.7314,0.612491,0,2,0.272319,4531.388082,69.713663,144928.923952,532196.162047,31.982942,0.258228,68723.240938,33.05317,2148.456023,0.28641,76205.683014,36.660493,2382.932058,-0.028182,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.998783,0.0,0.912622,0.0,0.696305,0.0,1.165949,0.22506,1.07638,0.377157,0.258639,0.226434,0.387785,0.37819,1.019211,0.0,0.0,0.272996,4542.652866,69.886967,144642.025478,529936.305732,31.847134,0.249784,66271.382166,31.972336,2078.201831,0.296208,78370.643312,37.914631,2464.451035,-0.046424,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.998756,0.0,0.913517,0.0,0.696203,0.0,1.158675,0.2202,1.089482,0.379212,0.250292,0.221615,0.401245,0.380066
7,cifar10,cats,identity,run_001,1.000433,0.659089,0.657556,0.659181,0.658285,7888.0855,217.1433,213.1581,4.0542,5.7048,370.8124,1.124779,0.6158,0.621009,0.615168,0.611701,29.6952,168.3771,10944.5128,102.7314,0.612491,0,3,0.272929,4541.533227,69.869742,145253.700782,532196.162047,31.982942,0.260032,69194.840085,33.284133,2163.468617,0.285825,76058.860697,36.585609,2378.06461,-0.025793,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.998738,0.0,0.915074,0.0,0.696395,0.0,1.170231,0.224743,1.075603,0.374974,0.260504,0.226083,0.386906,0.375986,1.000404,0.0,0.0,0.273203,4546.097532,69.939962,144753.802548,529936.305732,31.847134,0.262476,69637.681529,33.596959,2183.802349,0.28393,75116.121019,36.343003,2362.295183,-0.021453,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.99871,0.0,0.916662,0.0,0.696424,0.0,1.174879,0.224212,1.072062,0.372071,0.263594,0.225472,0.383327,0.373111
